Year,Cpi Common,Cpi Median,Cpi Trim,Total CPI,Average CPI,Wage
1997,1.525,1.175,1.15,1.65,90.36,15.59
1998,1.675,1.175,1.05,0.975,91.25,15.78
1999,1.875,1.2,1.325,1.75,92.84,16.17
2000,1.775,1.575,1.75,2.725,95.38,16.66
2001,2.425,2.175,2.25,2.55,97.78,17.22
2002,2.25,2.075,2.05,2.25,100,17.66
2003,1.95,2.1,1.9,2.775,102.74,18.05
2004,1.8,1.65,1.675,1.825,104.63,18.5
2005,1.975,1.825,1.75,2.225,106.97,19.09
2006,2,1.975,2.075,2.025,109.13,20.16
2007,2.25,2.5,2.6,2.15,111.45,20.99
2008,2.325,2.575,2.4,2.375,114.11,21.85
2009,2.825,2.05,1.8,0.3,114.45,22.63
2010,1.275,1.625,1.275,1.775,116.48,23.09
2011,1.8,1.875,1.775,2.9,119.84,23.6
2012,1.775,1.75,1.625,1.55,121.68,24.21
2013,1.225,1.575,1.175,0.9,122.8,24.75
2014,1.475,1.725,1.625,1.9,125.16,25.18
2015,1.95,1.775,1.65,1.125,126.56,25.87
2016,1.75,2,1.825,1.45,128.38,26.4
2017,1.225,1.625,1.45,1.6,130.43,26.81
2018,1.75,1.875,1.925,2.3,133.36,27.56
2019,2.075,2,2.05,1.95,135.97,28.32
2020,1.675,1.875,1.75,0.675,136.95,30.04
2021,2.525,2.65,2.95,3.425,141.61,30.69
2022,5.325,4.825,5.25,6.8,151.21,31.97
2023,4.9,4,3.875,3.95,157.08,33.56
2024,2.4,2.8,2.8,2.375,160.85,35.2
